Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Media
203707851,"Oct 5, 2014, 4:15:21 PM",Lunch Ride,Ride,,2833,13.61,,,false,,,activities/203707851.gpx,62.0,,2833.0,2499.0,13609.2001953125,11.0,,73.52400207519531,,241.0,285.5,7.5,0.006613169796764851,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
205355106,"Oct 9, 2014, 6:40:08 PM",Afternoon Ride,Ride,,7159,32.45,,,false,,,activities/205355106.gpx,62.0,,7159.0,6480.0,32457.400390625,12.600000381469727,,237.73899841308594,,241.5,308.70001220703125,27.100000381469727,0.020950499922037125,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
208479490,"Oct 17, 2014, 9:03:29 PM",Afternoon Ride,Ride,,2354,12.19,,,false,,,activities/208479490.gpx,62.0,,2354.0,2347.0,12190.599609375,11.399999618530273,,84.78459930419922,,262.29998779296875,299.20001220703125,11.600000381469727,-0.003281220095232129,,,,,,,,83.4446029663086,218.36659240722656,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
209413599,"Oct 19, 2014, 8:08:59 PM",Afternoon Ride,Ride,,3377,14.74,,,false,,,activities/209413599.gpx,62.0,,3377.0,2831.0,14741.099609375,12.600000381469727,,111.53900146484375,,235.3000030517578,292.3999938964844,14.5,-0.0013567500282078981,,,,,,,,93.48809814453125,295.10125732421875,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
364597341,"Aug 8, 2015, 11:25:02 PM",Evening Ride,Ride,,4522,25.76,,,false,,,activities/364597341.gpx,62.0,,4522.0,4449.0,25764.900390625,14.300000190734863,,135.54800415039062,,239.1999969482422,286.0,10.699999809265137,0.002328749978914857,,,,,,,,95.19979858398438,472.25146484375,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
372983480,"Aug 19, 2015, 11:27:13 PM",Evening Ride,Ride,,2600,14.09,,,false,,,activities/372983480.gpx,62.0,,2600.0,2449.0,14096.7998046875,12.600000381469727,,97.64969635009766,,229.1999969482422,288.29998779296875,7.300000190734863,0.058169201016426086,,,,,,,,94.52330017089844,258.108642578125,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
583089192,"May 21, 2016, 12:22:23 PM",Morning Ride,Ride,,3758,25.26,,,false,,,activities/583089192.gpx,62.0,,3758.0,3717.0,25262.400390625,12.899999618530273,,101.80599975585938,,215.0,295.0,12.100000381469727,-0.1143990010023117,,,,,,,,115.35099792480469,478.0670166015625,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
584409896,"May 22, 2016, 12:42:35 PM",Morning Ride,Ride,,5721,33.02,,,false,,,activities/584409896.gpx,62.0,,5721.0,5601.0,33026.80078125,15.300000190734863,,241.58599853515625,,215.8000030517578,355.8999938964844,17.600000381469727,0.07297100126743317,,,,,,,,106.96099853515625,667.9837646484375,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
622041723,"Jun 26, 2016, 8:51:09 PM",1,Ride,,5629,43.11,,,false,,,activities/622041723.gpx,68.0,,5629.0,5629.0,43113.1015625,18.200000762939453,,421.6759948730469,,248.0,356.20001220703125,15.800000190734863,0.0,,,,,,,,173.3730010986328,1088.14697265625,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
622837009,"Jun 27, 2016, 6:44:16 PM",2,Ride,"",4049,30.51,,,false,,,activities/622837009.gpx,68.0,,4049.0,3957.0,30518.400390625,17.0,,362.510009765625,,248.0,356.20001220703125,16.299999237060547,-0.0003276710049249232,,,,,,,,189.68299865722656,836.891845703125,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
